date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-06-02,7.75,7.75,7.44,7.18,92594.15,-0.32,-4.12,9.228,10.569,9.426,1022018.06,1866886.69,2315998.47,2.22
2017-05-31,9.18,9.21,7.76,7.19,1132962.0,-1.45,-15.74,10.144,10.704,9.404,1403977.58,2110829.65,2659450.28,27.22
2017-04-28,10.41,11.49,9.21,8.88,1205215.75,-0.78,-7.81,10.946,10.793,9.425,1521071.78,2159068.69,2905872.26,28.95
2017-03-31,11.73,11.95,9.99,9.83,1543351.38,-1.75,-14.91,11.72,10.78,9.531,2004364.83,2263077.76,3075563.02,37.08
2017-02-28,12.08,12.62,11.74,11.5,1135967.0,-0.28,-2.33,12.252,10.616,9.744,2541839.25,2316904.81,3355363.93,27.29
2017-01-26,11.81,13.48,12.02,11.1,2002391.75,0.25,2.12,11.91,10.062,9.745,2711755.33,2327303.15,3770841.53,48.1
2016-12-30,13.2,13.65,11.77,10.22,1718433.0,-1.31,-10.02,11.264,9.516,9.557,2817681.73,2351827.93,3923496.96,41.28
2016-11-30,12.5,14.58,13.08,12.1,3621681.0,0.43,3.4,10.64,9.457,9.316,2797065.6,2618298.03,3995507.65,87.0
2016-10-31,10.93,12.86,12.65,10.4,4230723.5,2.62,26.12,9.84,9.03,8.963,2521790.7,2650027.4,3943849.64,101.63
2016-07-18,8.78,10.69,10.03,8.62,1985547.38,1.24,14.11,8.98,8.606,8.635,2091970.38,2620536.05,4019129.76,47.7
2016-06-30,8.69,10.32,8.79,8.41,2532023.75,0.14,1.62,8.214,8.282,8.435,1942850.98,2765110.24,4098964.39,60.83
2016-05-31,9.15,9.39,8.65,7.3,1615352.38,-0.43,-4.74,7.768,8.104,8.281,1885974.13,3208070.91,4141491.01,38.81
2016-04-29,8.5,9.68,9.08,8.26,2245306.5,0.73,8.74,8.274,8.056,8.137,2439530.45,3652675.83,4236106.76,53.94
2016-03-31,6.29,8.8,8.35,6.21,2081621.88,2.15,34.68,8.22,8.281,7.938,2778264.1,3888048.28,4226821.29,50.01
2016-02-29,6.53,7.7,6.2,6.15,1239950.38,-0.36,-5.49,8.232,8.872,7.768,3149101.73,4393823.04,4195034.36,29.79
2016-01-29,11.29,11.35,6.56,6.09,2247639.5,-4.62,-41.32,8.35,9.427,7.689,3587369.5,5214379.9,4179486.79,53.99
2015-12-31,8.69,11.57,11.18,8.41,4383134.0,2.37,26.9,8.44,9.597,7.588,4530167.7,5495166.0,4094566.96,105.3
2015-11-30,8.21,9.69,8.81,7.84,3938974.75,0.4,4.76,7.838,9.174,7.256,4865821.2,5372717.28,3936209.75,94.63
2015-10-30,7.1,8.96,8.41,6.96,3935810.0,1.62,23.86,8.342,8.895,7.064,4997832.45,5237671.88,3861532.15,94.55
